lon,lat,TW67_X,TW67_Y,電力座標
23.60215,120.579408,206248.0,2611232.0,K4522CC4382
23.601931,120.579572,206265.0,2611208.0,K4522CC6058
23.601807,120.579434,206251.0,2611194.0,K4522CB5914
23.602262,120.581095,206421.0,2611244.0,K4522EC2414
23.602596,120.580855,206396.0,2611281.0,K4522DC9861
23.602597,120.581198,206431.0,2611281.0,K4522EC3811
23.602356,120.581536,206466.0,2611254.0,K4522EC6564
23.60245,120.581935,206506.0,2611265.0,K4522FC0665
23.602498,120.582068,206520.0,2611270.0,K4522FC2700
23.602678,120.581773,206490.0,2611290.0,K4522EC9900
23.603038,120.58138,206450.0,2611330.0,K4522ED5300
23.600403,120.583532,206669.0,2611038.0,K4522GA6398
23.599869,120.583364,206651.0,2610978.0,K4521GE5718
23.600067,120.583561,206672.0,2611000.0,K4522GA7020
23.599789,120.584032,206720.0,2610969.0,K4521HE2609
23.599442,120.583985,206715.0,2610931.0,K4521HE1351
23.599167,120.583866,206702.0,2610901.0,K4521HE0021
23.599535,120.583418,206657.0,2610941.0,K4521GE5471
23.600852,120.584323,206750.0,2611087.0,K4522HA5807
23.600653,120.585425,206862.0,2611065.0,K4622AA6625
23.599978,120.585309,206850.0,2610990.0,K4621AE5900
23.600174,120.585538,206873.0,2611012.0,K4622AA7132
23.600203,120.585668,206887.0,2611015.0,K4622AA8175
23.599435,120.585331,206852.0,2610930.0,K4621AE5320
23.599472,120.585045,206823.0,2610934.0,K4621AE2334
23.599182,120.586417,206963.0,2610901.0,K4621BE6031
23.599366,120.586684,206990.0,2610922.0,K4621BE9202
23.599426,120.586865,207009.0,2610928.0,K4621CE0298
23.597423,120.58584,206903.0,2610707.0,K4621BC0037
23.597347,120.587163,207038.0,2610698.0,K4621CB3988
23.597355,120.587659,207089.0,2610699.0,K4621CB8999
23.597161,120.587891,207113.0,2610677.0,K4621DB1737
23.59848,120.586394,206960.0,2610824.0,K4621BD6204
23.5983,120.586415,206962.0,2610804.0,K4621BD6024
23.598007,120.586528,206974.0,2610771.0,K4621BC7741
23.597915,120.586666,206988.0,2610761.0,K4621BC8681
23.597824,120.586896,207011.0,2610751.0,K4621CC1511
23.597747,120.587127,207035.0,2610742.0,K4621CC3452
23.598755,120.586944,207016.0,2610854.0,K4621CD1564
23.597275,120.588829,207208.0,2610690.0,K4621EB0980
23.596939,120.589947,207322.0,2610652.0,K4621FB2522
23.59632,120.590074,207335.0,2610583.0,K4621FA3853
23.59581,120.590856,207415.0,2610527.0,K4621GA1257
23.596295,120.591561,207487.0,2610580.0,K4621GA8870
23.596405,120.591568,207488.0,2610592.0,K4621GA8982
23.595911,120.591898,207521.0,2610538.0,K4621HA2318
23.595581,120.591861,207517.0,2610501.0,K4621HA1071
23.5954,120.591699,207501.0,2610481.0,K4620HE0811
23.595291,120.591392,207469.0,2610469.0,K4620GE6699
23.595016,120.591278,207458.0,2610439.0,K4620GE5389
23.594844,120.59111,207440.0,2610420.0,K4620GE4200
23.594352,120.591385,207468.0,2610365.0,K4620GD6685
23.594256,120.591556,207486.0,2610354.0,K4620GD8564
23.593834,120.591631,207493.0,2610308.0,K4620GD9038
23.593695,120.59178,207508.0,2610292.0,K4620HC0982
23.593531,120.592082,207539.0,2610274.0,K4620HC3794
23.593388,120.592234,207555.0,2610258.0,K4620HC5558
23.594571,120.591224,207452.0,2610389.0,K4620GD5829
23.594571,120.591224,207452.0,2610389.0,K4620GD5829
23.594785,120.590778,207406.0,2610413.0,K4620GE0163
23.594589,120.590889,207418.0,2610392.0,K4620GD1982
23.594681,120.590504,207378.0,2610402.0,K4620FE7082
23.594536,120.590515,207380.0,2610386.0,K4620FD8806
23.594453,120.590101,207337.0,2610377.0,K4620FD3777
23.594299,120.589842,207311.0,2610360.0,K4620FD1610
23.593949,120.589793,207306.0,2610321.0,K4620FD0261
23.593948,120.590194,207347.0,2610321.0,K4620FD4271
23.593898,120.590375,207365.0,2610315.0,K4620FD6155
23.596085,120.593305,207665.0,2610557.0,K4721AA6557
23.596097,120.593359,207670.0,2610558.0,K4721AA7508
23.596157,120.593578,207693.0,2610564.0,K4721AA9634
23.596325,120.593839,207719.0,2610583.0,K4721BA1893
23.596467,120.594202,207756.0,2610599.0,K4721BA5969
23.594955,120.595882,207927.0,2610431.0,K4720DE2371
23.594472,120.597553,208098.0,2610377.0,K4720ED9787
23.594188,120.597385,208081.0,2610345.0,K4720ED8415
23.594017,120.597251,208067.0,2610326.0,K4720ED6276
23.59386,120.597027,208044.0,2610309.0,K4720ED4049
23.593491,120.596706,208011.0,2610268.0,K4720EC1618
23.594378,120.597519,208094.0,2610366.0,K4720ED9646
23.593964,120.598792,208224.0,2610320.0,K4720GD2240
23.593642,120.599269,208273.0,2610284.0,K4720GC7834
23.593308,120.601759,208527.0,2610247.0,K4820BC2477
23.592873,120.600885,208437.0,2610199.0,K4820AB3979
23.592834,120.601269,208477.0,2610194.0,K4820AB7974
23.592529,120.60113,208462.0,2610160.0,K4820AB6620
23.592178,120.601181,208467.0,2610122.0,K4820AB6272
23.591943,120.601509,208501.0,2610095.0,K4820BA0915
23.591971,120.602014,208552.0,2610098.0,K4820BA5928
23.592068,120.601953,208546.0,2610109.0,K4820BB4069
23.591785,120.602347,208586.0,2610078.0,K4820BA8768
23.591768,120.602709,208623.0,2610076.0,K4820CA2736
23.589715,120.606299,208989.0,2609847.0,K4819FD8497
23.589127,120.606186,208977.0,2609782.0,K4819FC7872
23.588745,120.606348,208994.0,2609740.0,K4819FC9440
23.587264,120.606573,209016.0,2609576.0,K4819GA1766
23.586828,120.606031,208961.0,2609528.0,K4819FA6218
23.586609,120.605544,208911.0,2609504.0,K4819FA1014
23.586343,120.60476,208831.0,2609474.0,K4818EE3714
23.586345,120.604396,208794.0,2609475.0,K4818DE9745
23.586274,120.603937,208747.0,2609467.0,K4818DE4677
23.586356,120.6033,208682.0,2609476.0,K4818CE8726
23.586258,120.602943,208645.0,2609465.0,K4818CE4655
23.586306,120.602501,208600.0,2609471.0,K4818CE0701
23.586411,120.602265,208576.0,2609483.0,K4818BE7863
23.586714,120.602232,208573.0,2609516.0,K4819BA7136
23.586919,120.60252,208602.0,2609539.0,K4819CA0329
23.587204,120.602618,208613.0,2609570.0,K4819CA1730
23.587213,120.602754,208626.0,2609571.0,K4819CA2761
23.585987,120.60261,208611.0,2609436.0,K4818CE1316
23.586061,120.603241,208676.0,2609444.0,K4818CE7464
23.585965,120.603476,208700.0,2609433.0,K4818DE0303
23.585862,120.603694,208722.0,2609421.0,K4818DE2221
23.586044,120.602829,208634.0,2609442.0,K4818CE3442
23.585876,120.602103,208560.0,2609423.0,K4818BE6203
23.585789,120.602811,208632.0,2609414.0,K4818CE3124
23.585759,120.602934,208644.0,2609410.0,K4818CE4140
23.585632,120.602947,208646.0,2609396.0,K4818CD4966
23.585417,120.603216,208673.0,2609372.0,K4818CD7732
23.585388,120.603465,208698.0,2609369.0,K4818CD9689
23.585337,120.604025,208756.0,2609363.0,K4818DD5663
23.585367,120.604199,208773.0,2609366.0,K4818DD7636
23.585334,120.604342,208788.0,2609363.0,K4818DD8683
23.585223,120.604381,208792.0,2609350.0,K4818DD9520
23.585235,120.604423,208796.0,2609352.0,K4818DD9562
23.585175,120.604729,208827.0,2609345.0,K4818ED2475
23.585617,120.602826,208633.0,2609395.0,K4818CD3935
23.585388,120.602969,208648.0,2609369.0,K4818CD4689
23.58551,120.602508,208601.0,2609383.0,K4818CD0813
23.585368,120.602554,208605.0,2609367.0,K4818CD0657
23.585175,120.60266,208616.0,2609346.0,K4818CD1466
